uber_pickup_zips,uber_rides_per_zip,uber_zip_proportion,green_taxi_pickup_zips_SHARED,green_taxi_rides_per_zip,green_taxi_zip_proportion,yellow_taxi_pickup_zips_SHARED,yellow_taxi_rides_per_zip,yellow_taxi_zip_proportion,taxi_COMBINED_rides_per_zip,taxi_COMBINED_zip_proportion,greater_zip_proportion_taxi_or_uber
10169,1,0.00005617030837,#N/A,0,0,10169,5,0.0001029696445,5,0.00005292965649,uber
10178,6,0.0003370218502,#N/A,0,0,10178,35,0.0007207875118,35,0.0003705075954,taxi
10199,20,0.001123406167,#N/A,0,0,10199,55,0.00113266609,55,0.0005822262214,uber
10271,1,0.00005617030837,#N/A,0,0,10271,2,0.00004118785782,2,0.00002117186259,uber
10275,16,0.000898724934,#N/A,0,0,10275,42,0.0008649450142,42,0.0004446091145,uber
10278,12,0.0006740437005,#N/A,0,0,10278,23,0.0004736603649,23,0.0002434764198,uber
10279,34,0.001909790485,10279,2,0.00004356634065,10279,125,0.002574241114,127,0.001344413275,uber
10280,70,0.003931921586,#N/A,0,0,10280,152,0.003130277194,152,0.001609061557,uber
10281,12,0.0006740437005,#N/A,0,0,10281,50,0.001029696445,50,0.0005292965649,uber
10282,116,0.006515755771,#N/A,0,0,10282,177,0.003645125417,177,0.00187370984,uber
10285,12,0.0006740437005,#N/A,0,0,10285,37,0.0007619753697,37,0.000391679458,uber
10301,1,0.00005617030837,10301,12,0.0002613980439,#N/A,0,0,12,0.0001270311756,taxi
10302,1,0.00005617030837,10302,1,0.00002178317032,#N/A,0,0,1,0.0000105859313,uber
10303,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
10304,2,0.0001123406167,#N/A,0,0,#N/A,0,0,0,0,uber
10306,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
10308,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
10314,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
10451,3,0.0001685109251,10451,489,0.01065197029,10451,10,0.0002059392891,499,0.005282379717,taxi
10452,3,0.0001685109251,10452,419,0.009127148365,10452,2,0.00004118785782,421,0.004456677076,taxi
10453,3,0.0001685109251,10453,249,0.00542400941,#N/A,0,0,249,0.002635896893,taxi
10454,6,0.0003370218502,10454,151,0.003289258719,10454,11,0.000226533218,162,0.00171492087,taxi
10455,2,0.0001123406167,10455,187,0.00407345285,#N/A,0,0,187,0.001979569153,taxi
10456,1,0.00005617030837,10456,251,0.005467575751,10456,2,0.00004118785782,253,0.002678240618,taxi
10457,1,0.00005617030837,10457,264,0.005750756965,#N/A,0,0,264,0.002794685862,taxi
10458,13,0.0007302140089,10458,370,0.008059773019,#N/A,0,0,370,0.00391679458,taxi
10459,2,0.0001123406167,10459,122,0.002657546779,10459,1,0.00002059392891,123,0.00130206955,taxi
10461,3,0.0001685109251,10461,188,0.004095236021,#N/A,0,0,188,0.001990155084,taxi
10462,5,0.0002808515419,10462,241,0.005249744048,10462,2,0.00004118785782,243,0.002572381305,taxi
10463,14,0.0007863843172,10463,215,0.004683381619,10463,1,0.00002059392891,216,0.00228656116,taxi
10466,1,0.00005617030837,10466,17,0.0003703138955,#N/A,0,0,17,0.0001799608321,taxi
10467,1,0.00005617030837,10467,201,0.004378417235,10467,1,0.00002059392891,202,0.002138358122,taxi
10468,5,0.0002808515419,10468,333,0.007253795717,10468,1,0.00002059392891,334,0.003535701053,taxi
10469,6,0.0003370218502,10469,42,0.0009148931535,#N/A,0,0,42,0.0004446091145,taxi
10470,1,0.00005617030837,10470,48,0.001045592175,#N/A,0,0,48,0.0005081247023,taxi
10471,3,0.0001685109251,10471,11,0.0002396148735,10471,1,0.00002059392891,12,0.0001270311756,uber
10472,4,0.0002246812335,10472,172,0.003746705295,#N/A,0,0,172,0.001820780183,taxi
10473,3,0.0001685109251,10473,42,0.0009148931535,#N/A,0,0,42,0.0004446091145,taxi
10474,1,0.00005617030837,10474,26,0.0005663624284,#N/A,0,0,26,0.0002752342137,taxi
10522,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
10523,2,0.0001123406167,#N/A,0,0,#N/A,0,0,0,0,uber
10533,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
10543,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
10552,2,0.0001123406167,#N/A,0,0,#N/A,0,0,0,0,uber
10573,3,0.0001685109251,#N/A,0,0,#N/A,0,0,0,0,uber
10580,2,0.0001123406167,#N/A,0,0,10580,1,0.00002059392891,1,0.0000105859313,uber
10583,2,0.0001123406167,#N/A,0,0,#N/A,0,0,0,0,uber
10595,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
10601,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
10604,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
10605,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
10701,1,0.00005617030837,10701,2,0.00004356634065,#N/A,0,0,2,0.00002117186259,uber
10704,1,0.00005617030837,10704,1,0.00002178317032,#N/A,0,0,1,0.0000105859313,uber
10705,2,0.0001123406167,10705,3,0.00006534951097,10705,1,0.00002059392891,4,0.00004234372519,uber
10707,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
10708,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
10710,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
10950,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
11001,1,0.00005617030837,11001,1,0.00002178317032,#N/A,0,0,1,0.0000105859313,uber
11003,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
11021,1,0.00005617030837,11021,3,0.00006534951097,#N/A,0,0,3,0.00003175779389,uber
11030,3,0.0001685109251,#N/A,0,0,#N/A,0,0,0,0,uber
11040,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
11042,2,0.0001123406167,#N/A,0,0,#N/A,0,0,0,0,uber
11101,100,0.005617030837,11101,1405,0.0306053543,11101,147,0.00302730755,1552,0.01642936537,taxi
11102,22,0.001235746784,11102,612,0.01333130024,11102,46,0.0009473207298,658,0.006965542794,taxi
11103,25,0.001404257709,11103,1020,0.02221883373,11103,35,0.0007207875118,1055,0.01116815752,taxi
11104,15,0.0008425546256,11104,354,0.007711242294,11104,64,0.00131801145,418,0.004424919282,taxi
11105,19,0.001067235859,11105,395,0.008604352277,11105,27,0.0005560360806,422,0.004467263007,taxi
11106,22,0.001235746784,11106,608,0.01324416756,11106,67,0.001379793237,675,0.007145503626,taxi
11109,13,0.0007302140089,11109,158,0.003441740911,11109,28,0.0005766300095,186,0.001968983221,taxi
11201,325,0.01825535022,11201,2588,0.05637484479,11201,225,0.004633634005,2813,0.02977822474,taxi
11203,16,0.000898724934,11203,41,0.0008931099832,#N/A,0,0,41,0.0004340231832,uber
11205,100,0.005617030837,11205,671,0.01461650729,11205,50,0.001029696445,721,0.007632456465,taxi
11206,133,0.007470651014,11206,478,0.01041235541,11206,49,0.001009102517,527,0.005578785794,uber
11207,34,0.001909790485,11207,287,0.006251769883,11207,9,0.0001853453602,296,0.003133435664,taxi
11208,7,0.0003931921586,11208,158,0.003441740911,11208,11,0.000226533218,169,0.001789022389,taxi
11209,26,0.001460428018,11209,141,0.003071427015,11209,14,0.0002883150047,155,0.001640819351,taxi
11210,8,0.000449362467,11210,45,0.0009802426645,11210,3,0.00006178178673,48,0.0005081247023,taxi
11211,226,0.01269448969,11211,2071,0.04511294574,11211,200,0.004118785782,2271,0.02404064998,taxi
11212,8,0.000449362467,11212,51,0.001110941686,11212,2,0.00004118785782,53,0.0005610543588,taxi
11213,35,0.001965960793,11213,151,0.003289258719,11213,6,0.0001235635735,157,0.001661991214,uber
11214,4,0.0002246812335,11214,4,0.00008713268129,#N/A,0,0,4,0.00004234372519,uber
11215,130,0.007302140089,11215,768,0.01672947481,11215,55,0.00113266609,823,0.008712221458,taxi
11216,63,0.003538729428,11216,405,0.008822183981,11216,15,0.0003089089336,420,0.004446091145,taxi
11217,136,0.007639161939,11217,1178,0.02566057464,11217,90,0.001853453602,1268,0.01342296088,taxi
11218,25,0.001404257709,11218,38,0.0008277604723,11218,5,0.0001029696445,43,0.0004551950458,uber
11219,5,0.0002808515419,11219,6,0.0001306990219,#N/A,0,0,6,0.00006351558778,uber
11220,9,0.0005055327754,11220,20,0.0004356634065,11220,2,0.00004118785782,22,0.0002328904885,uber
11221,66,0.003707240353,11221,323,0.007035964014,11221,26,0.0005354421517,349,0.003694490023,uber
11222,131,0.007358310397,11222,1091,0.02376543882,11222,60,0.001235635735,1151,0.01218440692,taxi
11223,11,0.0006178733921,11223,14,0.0003049643845,#N/A,0,0,14,0.0001482030382,uber
11224,2,0.0001123406167,11224,41,0.0008931099832,11224,1,0.00002059392891,42,0.0004446091145,taxi
11225,26,0.001460428018,11225,198,0.004313067724,11225,13,0.0002677210758,211,0.002233631504,taxi
11226,30,0.001685109251,11226,118,0.002570414098,11226,5,0.0001029696445,123,0.00130206955,uber
11227,6,0.0003370218502,11227,163,0.003550656763,11227,10,0.0002059392891,173,0.001831366114,taxi
11228,7,0.0003931921586,11228,3,0.00006534951097,#N/A,0,0,3,0.00003175779389,uber
11229,4,0.0002246812335,11229,11,0.0002396148735,11229,2,0.00004118785782,13,0.0001376171069,uber
11230,6,0.0003370218502,11230,27,0.0005881455987,11230,2,0.00004118785782,29,0.0003069920076,uber
11231,133,0.007470651014,11231,827,0.01801468186,11231,65,0.001338605379,892,0.009442650717,taxi
11232,19,0.001067235859,11232,53,0.001154508027,11232,5,0.0001029696445,58,0.0006139840152,uber
11233,22,0.001235746784,11233,114,0.002483281417,11233,5,0.0001029696445,119,0.001259725824,taxi
